"filename", "language", "Markdown", "XML", "C#", "JSON", "aspnetcorerazor", "HTML", "SQL", "CSS", "JavaScript", "comment", "blank", "total"
"c:\projects\salesImitation\SalesImitation\src\SI.application\Notifications\Queries\GetNewNotificationsRequest.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\projects\salesImitation\SalesImitation\src\SI.application\Notifications\Queries\GetNewNotificationsResponse.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\SaveNewPartner\SaveNewPartnerHandler.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\SaveNewPartner\SaveNewPartnerRequest.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 10, 36
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\SetIsActiveToPartner\SetIsActiveToPartnerHandler.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\SetIsActiveToPartner\SetIsActiveToPartnerRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\UpdatePartner\UpdatePartnerHandler.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Commands\UpdatePartner\UpdatePartnerRequest.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Queries\GetPartner\GetPartnerHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Queries\GetPartner\GetPartnerRequest.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Queries\GetRangeOfPartners\GetRangeOfPartnerHandler.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Queries\GetRangeOfPartners\GetRangeOfPartnerRequest.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\projects\salesImitation\SalesImitation\src\SI.application\Partners\Queries\GetRangeOfPartners\GetangeOfPartnerResponse.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LogOutPlayer\LogOutPlayerHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LogOutPlayer\LogOutPlayerRequest.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginPlayer\LoginPlayerHandler.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginPlayer\LoginPlayerReponse.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginPlayer\LoginPlayerRequest.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginWithFacebook\LoginWithFacebookHandler.cs", "C#", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginWithFacebook\LoginWithFacebookRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\LoginWithFacebook\LoginWithFacebookResponse.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\RegisterPlayer\RegisterPlayerRequest.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Commands\RegisterPlayer\RegistrationPlayerHandler.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetLeaderboard\GetLeaderboardHandler.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetLeaderboard\GetLeaderboardRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetLeaderboard\GetLeaderboardResponse.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetPlayerByID\GetPlayerByIDHandler.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetPlayerByID\GetPlayerByIDRequest.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\projects\salesImitation\SalesImitation\src\SI.application\Players\Queries\GetPlayerByID\GetPlayerByIDResponse.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\SaveNewProduct\SaveNewProductHandler.cs", "C#", 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 10, 62
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\SaveNewProduct\SaveNewProductRequest.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 12, 39
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\SetIsActiveToProduct\SetIsActiveToProductHandler.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\SetIsActiveToProduct\SetIsActiveToProductRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
